conv_id,n_utterances,n_tokens,topics,type,speaker1_id,speaker1_age_cat,speaker1_gender,speaker1_educ,speaker2_id,speaker2_age_cat,speaker2_gender,speaker2_educ
S7ZG,822,8688,"['setting personal goals', 'career professional development', 'discussing joining up with friends', 'and family planning. ']","['discussing', 'explaining', 'inquiring', 'advising', 'requesting', 'making arrangements']",S0261,40_49,M,4_graduate,S0262,40_49,F,5_postgrad
S87R,344,4553,"['babies', 'feeding babies', 'other family members']","['discussing', 'explaining', 'complaining', 'anecdote telling']",S0432,19_29,F,4_graduate,S0503,19_29,F,3_sixthform
S8B9,3377,32369,"['damage to the property', 'the heat', 'making up after an argument', 'breaking up', ' a recent night out']","['discussing', 'explaining', 'inquiring', 'complaining', 'anecdote telling', 'apologising']",S0453,30_39,M,4_graduate,S0454,30_39,F,4_graduate
S8G6,333,4574,"['equality vote', 'ireland', 'politics', 'school', 'birthdays', 'birthday parties', 'joking', 'marriage', 'embarrassing mothers']","['discussing', 'explaining', 'inquiring', 'complaining', 'advising', 'anecdote telling', 'telling jokes']",S0416,11_18,M,9_unknown,S0417,40_49,F,9_unknown
S8GL,901,6712,"['food', 'family/children', 'food tastes', 'health problems (heart attack', 'allergies', 'diabetes)', 'smoking', 'school', 'teachers', 'children’s behaviour.']","['discussing', 'explaining', 'anecdote telling']",S0255,40_49,F,4_graduate,S0259,40_49,F,3_sixthform
S8J6,845,9716,"['cooking', 'football', 'going out', 'plants', 'work', 'films', 'room 101', 'electronics', 'skincare', 'modern medicine']","['discussing', 'explaining', 'anecdote telling']",S0037,19_29,F,5_postgrad,S0115,30_39,M,5_postgrad
S8K9,554,6616,"['moving house', 'work', 'oman']","['discussing', 'explaining', 'making arrangements']",S0024,30_39,F,5_postgrad,S0144,30_39,M,5_postgrad
S8Q6,257,2561,"['what to have for supper and other meals', 'using passenger assistance on the railway', 'catching train at leeds station', 'using text messaging', 'experiences of receiving text notifications']","['discussing', 'explaining', 'making arrangements']",S0679,50_59,F,5_postgrad,S0680,60_69,F,4_graduate
S8RY,267,5234,['bad mouthing parents'],"['discussing', 'explaining', 'inquiring', 'complaining']",S0202,19_29,F,3_sixthform,S0208,19_29,F,3_sixthform
S8S2,285,2781,"['celebrities', 'porn', 'daily activities']","['discussing', 'explaining', 'inquiring', 'complaining']",S0202,19_29,F,3_sixthform,S0218,19_29,M,5_postgrad
S8SH,675,7123,"['the great british sewing bee bbc tv programme', 'mum’s sewing', 'clothes mum made for sue in the 60s and 70s', '60s haircuts', 'car parking in central london']","['discussing', 'explaining', 'anecdote telling']",S0679,50_59,F,5_postgrad,S0680,60_69,F,4_graduate
